GM,year,author,company,worktype,relevant_to_line,key_gold_data
GM00022,1947,"Moody, G.E.",Oremar Gold Mines Ltd.,prospect report,HIGH,"Au in qz-filled fractures in porphyry dykes/diorite/silicified tuffs; Bones Option Courville Twp; Taschereau R. fault x sheared tuff zone = target; regional NW greenstone trend"
GM09196,~1959,Big Town Copper Mines Ltd. (progress report),Big Town Copper Mines,trenching/sampling,HIGH,"Au-telluride+cpy qz veins in NW-trending granite porphyry dyke (70-100ft wide); Vein A bulk 3.97 oz/t Au & 9.72 oz/t Ag; lot 52 Rg IV (Big Town showing); tension-fracture controlled"
GM09467,1960,"Bischoff, C.T.",Big Town Copper Mines,magnetic survey,HIGH,"Au-bearing granite porphyry strikes N45W (lots 51-53 Rg V) turning N65W to NW (lots 49-51); fold/flexure to NW; low even mag signature; parallel porphyry bands northward"
GM11828,~1960,"Bischoff, C.T.",Big Town Copper Mines,"DDH+geophys+geochem",HIGH,"NW-SE shears; Au-Ag-cpy in tension fractures at flexures (high-grade showing Rg V winter 1959-60); N fragmental horizon pyrite+po+minor Cu-Zn; EM conductors on Lac Courville & NE of lake; andesite-rhyolite contact Rg VIII favourable"
GM45787,1987,"Dvorak, Z. (Aerodat Ltd.)",FinNeth Exploration Inc.,airborne EM/mag/VLF,MED,"Heliborne survey Courville-Pascalis & Courville-Riviere Noire (covers property); 396 line-km; regional conductor/structure & mag framework; flight lines NE-SW"
GM40866,1984,"Turcotte, R. (Val dOr Geophysique); Audet, A. (Mines Sigma)",Les Mines Sigma (Quebec) Ltee,magnetic survey (Projet DOMEX),MED,"385 line-km mag, Courville Twp; anomalies dominantly NW-SE = formation strike; one NE-SW magnetic dyke in NE of property; confirms structural grain"
GM23165,1968,"(C.T. Bischoff, Noranda)",Big Town Copper Mines / W. Berthiaume,mag/EM survey,HIGH,"3 weak NW-trending conductors in mineralized tuffs, lots 49-52 Rg VIII; bordered NW by sheared rhyolite porphyry; confirms NW conductor/structure trend"
GM08642I,~1958,"Bischoff, C.T.",Big Town Copper Mines,annual engineers report,HIGH,"3 grab samples mineralized qz N part lot 50 Rg V ran up to ~0.32 oz/t Au; Au at many places in SW part of property; Ni sulphides outcrop N of Lac Courville; wide diorite dyke central Rg V on strike with Courtown-Pershing Manitou; transverse fold postulated; sheared acid fragmental band >1 mi long hosts Zn-Cu"
GM12407,~1961,"Bischoff, C.T.",Big Town Copper Mines,annual report (DDH/stripping/geophys),LOW-MED,"OCR degraded; legible part: mag+EM N lots 56-57 Rg IV & S lot 57 Rg V; faulting suggested by displaced magnetic horizons; consult PLAN sheet for locations"
GM13280,1963,"Bischoff, C.T. / Zalnieriunas",Big Town Copper Mines,5 DDH logs,MED,"Holes lot 59 RgVIII & lot 57 RgIV (local grid collars eg LAT150S; LAT200E DEP1404S; LAT1700? DEP25E); acid tuff+basic dikes, agglomerate+granite dikes w/ py at contacts; assays mostly Nil-trace, minor sphalerite ~339ft; confirms NE part = weak base-metal, Au negative"
GM17846,1966,"Bischoff, C.T.",Big Town Copper Mines,magnetometric survey,MED,"S half lots 46-48 RgVIII; two NW-trending mag bands cut by NE-trending feature; intersection in lot 47 complicated (drag folding?); highs to 1000 gamma"
GM17847,1966,"Bischoff, C.T.",Big Town Copper Mines,DC-IP survey,MED,"Same grid as GM17846; several NW zones show IP+conductivity = sulphides (po+py, possible Cu-Zn); NE zone = magnetite dyke; NW x NE intersection targeting model"
GM26568,1970,"Bischoff, C.T.",Big Town Copper Mines,mag+EM+deep soil geochem,MED,"Lots 50-51 (& 43 48) RgVIII; conductive+magnetic zone (graphitic tuff, DDH#114 no commercial values) traced SE w/ tight folds; bend in lot 43 = width+conductivity increase; soil sl. anomalous Cu-Zn lot 48"
GM49463,1990,"Beauregard, A.J. (Geologica Groupe-Conseil)",Placer Dome Inc.,compilation report (Projet Pershing-Manitou #410),VERY HIGH,"Diorite sills AZ315 steep NE dip; Manneville & UNIACKE faults = SE-trending Au metallotects; 225m diorite sill w/ milky qz veins py-cpy-FREE GOLD; Pershing-Manitou shaft B 60m+250m drift; 1950 reserves 45350 t @ 7.9 g/t Au; 66 DDH relocated on 1:2500 maps; Annexe III = significant Au intersections (in PLAN sheets)"
GM53064,1994,"Hawley, P.J.",Thomas Obradovich (Uniacke Prospect),prospecting report,VERY HIGH,"UNIACKE FAULT = NW deformation zone w/ ser-carb alteration thru lots 49-57 RgIV; 1981 New Beginnings DDH lots 52-53 RgIV: VC-10 1.1ft@0.68opt(23g/t), VC-4 1.5ft@0.40, VC-3 1.6ft@0.24 opt Au; VC-1 collar 375ft S of RgIV/V line 150ft W of lot52/53 line; 1994 grab 0.052opt in ser-schist shear at QP dyke contact; Pershing-Manitou 4mi NW 45350t@0.23opt; Cache-Parquet 2mi SW 136000t@0.2opt"
GM55625,1997,"Aeroquest Inc.",Anglaumaque Explorations Inc.,heliborne EM(6-freq IMPULSE)+mag,MED,"Senneterre Block 193km2 1052 line-km @200m spacing; UTM NAD27 corner coords given (block covers Line 1 area 322400-328700E); 3 promising EM anomaly groups (2 in NE w/ mag highs); digital GDB w/ UTM18 x-y available"
GM54639,1996,"Lavoie, C. (Geola Ltee)",Anglaumaque Expl. / Totem Sciences (Uniacke Prospect),IP+VLF+mag ground survey,HIGH,"Same claims as GM53064 (lots 49-57 RgIV 55-56 RgV ~440ha); index map shows Lac Courville within/adjacent to claim group => VC drill cluster is immediately NW of SFRT property = Obradovich showing position; dipole-dipole IP a=25m n=1-5; defines polarizable/conductive horizons along Uniacke corridor"
GM09874,1960,"Bischoff, C.T.",Big Town Copper Mines,annual report + metallurgical tests,MED,"High-grade Au granite-porphyry sill Rg V; milling/amalgamation recovery tests; Au in tension fractures w/ cpy+py; recommends pitting/trenching lot 52 + DDH along strike of sill (OCR partly illegible)"
GM11036,~1960,"Bischoff, C.T.",Big Town Copper Mines,annual engineers report,LOW-MED,"OCR heavily degraded; EM conductor segments in fragmental/tuff horizon; possible SE repetition of base-metal horizon; recommends EM extension + DDH/bulk sampling; gold occurrences warrant follow-up"
GM11911,1962,"Bischoff, C.T.",Big Town Copper Mines,diamond drill records,MED,"Multiple DDH (incl. lot 60 Rg V; local-grid collars 700N-3000N); agglomerate/tuff/andesite + basic-acid dikes, pyroxenite; pyrite in bands/seams (base-metal tuff horizon); no significant Au in logged intervals = NE base-metal pattern"
GM15694,1964,"Bischoff, C.T.",Big Town Copper Mines,mag/EM survey,HIGH,"Lots 54-55 Rg4 & 55-56 Rg5 (eastward toward property); strong NW shear outcrop lot54 c/l 1200-1400S w/ OLD Zn+Au trenches (1940s); NW conductors coincide w/ mag highs (pyrrhotite?); major NNE fault thru lots 54-57 Rg4-6; DDH lot53 Rg5 = barren tuff/fragmental; called strongest structure on property"
GM15695,1964,"Bischoff, C.T.",Big Town Copper Mines,5 DDH logs (holes 96-100),HIGH,"Holes lots 53-55 Rg4-5 (local-grid collars); int. agglomerate w/ py-po-SPHALERITE (Zn) at 85-95 & 253-275ft (hole99); modest Au BT99-3: 3.5ft @ 0.11 oz/t Au in qz-silicified agglomerate; mostly Ag-Zn base metal, Au trace-low; diorite/andesite/tuff host"
GM15948,1964,"Bischoff, C.T.",Big Town Copper Mines,letter-report mag/EM,MED-HIGH,"Lots 52-53 RgIV & 51-52 RgV; rock trend NW, EM crossovers w/ mag highs; large surface SHEAR trends more WESTERLY cutting bedding at small angle -> where it crosses porphyry dykes = Au-favourable (intersection/flexure model); low-mag zone N lot51 RgIV of interest"
